inventory_id,product_id,hub_id,rep_dipan_id,quantity,threshold_limit,last_updated
I00213,P020,W030,1e3f747079e56836f44df22c02170bea,5706,2251,2026-02-09 18:17:21
I00214,P020,W026,98f09a051db855bf4a932f85cc09a4dc,12527,4245,2026-04-11 02:48:46
I00215,P020,W020,1e0b3306746c0c9facdaf77b96f71bdb,17701,2455,2026-03-21 09:56:49
I00216,P021,W032,8a2ca3537d0576dabe8bc9796af88c73,2238,4079,2026-03-18 05:20:44
I00217,P021,W022,8d07525f08cd28bb54e44805dd5d66c7,19857,4224,2026-02-12 10:16:12
I00218,P021,W044,33d8a132bce9eae67d05a33a63b43fa5,10036,4054,2026-03-02 17:36:53
I00219,P021,W046,25edb0e70d1f9802cf578fcb28354f95,17765,4935,2026-01-05 09:39:08
I00220,P021,W005,42b8530b6e9c99d7fbc8b674b1291f9b,10637,2001,2026-03-28 14:55:52
I00221,P021,W010,9858afda1629449116e03ce5905b4c3f,11255,4995,2026-01-24 08:24:18
I00222,P021,W015,5d1b4f62d7fe241097124cc3d59b8fa5,15482,2443,2026-03-17 18:24:30
I00223,P022,W038,6fc2f79f597da33fd54db394a24f27cb,5411,3879,2026-01-27 06:01:21
I00224,P022,W040,060a63afded2f87b26ee43b503fccc04,6587,4723,2026-05-04 05:28:39
I00225,P022,W009,3bef535785e34d02081d900fdbd757a1,7809,1949,2026-03-21 02:14:09
I00226,P022,W003,2c9b7acff227e2ca8e965dcb18c1d8c1,8660,1544,2026-04-30 02:49:39
I00227,P022,W044,33d8a132bce9eae67d05a33a63b43fa5,17485,4231,2026-02-13 07:10:35
I00228,P022,W018,000d2d6015b0c82c87ae9ebcca4b4df1,4081,3666,2026-05-04 09:25:46
I00229,P022,W017,10b491e0fc5a87ebf031728a39681a5c,19534,1717,2026-04-23 21:39:32
I00230,P022,W005,42b8530b6e9c99d7fbc8b674b1291f9b,2186,2367,2026-02-13 08:08:37
I00231,P023,W027,06e5c628c2842f0f9d5e5dc00903eb59,19512,3184,2026-05-05 00:40:48
I00232,P023,W012,0be8974ac684e2db428161bf142ced02,15307,2545,2026-05-05 18:25:40
I00233,P023,W041,22e02f0fec839071e683df791041ba5d,16530,4875,2026-03-25 18:12:56
I00234,P023,W022,8d07525f08cd28bb54e44805dd5d66c7,17661,3862,2026-04-24 05:36:56
I00235,P023,W032,8a2ca3537d0576dabe8bc9796af88c73,10500,1550,2026-04-02 17:21:21
I00236,P023,W018,000d2d6015b0c82c87ae9ebcca4b4df1,2773,3668,2026-01-15 14:45:32
I00237,P023,W024,2a7e0d9ab6d897d7767ed1723b572840,8852,4653,2026-02-25 15:18:06
I00238,P024,W023,d512a699766e7ea62d9721ba805e00df,1975,2238,2026-03-27 19:03:00
I00239,P024,W002,10f16f07f31f8ef0533560f4b09bdb6b,16895,4192,2026-04-08 04:36:57
I00240,P024,W020,1e0b3306746c0c9facdaf77b96f71bdb,16183,3513,2026-03-20 15:52:44
I00241,P024,W019,3da92cbce751ec513ac61da6abb3b0e7,18809,1644,2026-03-25 22:26:28
I00242,P024,W040,060a63afded2f87b26ee43b503fccc04,1382,4268,2026-05-10 03:45:01
I00243,P024,W036,9e915db1e2d19059987386820134b95f,18274,2833,2026-02-09 13:38:50
I00244,P024,W044,33d8a132bce9eae67d05a33a63b43fa5,19802,3703,2026-03-07 13:06:10
I00245,P025,W002,10f16f07f31f8ef0533560f4b09bdb6b,19175,2626,2026-01-28 04:28:36
I00246,P025,W009,3bef535785e34d02081d900fdbd757a1,3492,4185,2026-04-13 04:35:15
I00247,P025,W011,06b8ffad301620933e8d1bfc6b235a51,7265,3294,2026-03-02 21:03:31
I00248,P025,W025,b37574fbbfaae203d3358ddf43a471e4,11701,2802,2026-03-30 17:43:27
I00249,P025,W032,8a2ca3537d0576dabe8bc9796af88c73,12618,3610,2026-01-19 09:16:37
I00250,P026,W017,10b491e0fc5a87ebf031728a39681a5c,8579,3381,2026-03-05 00:05:14
I00251,P026,W005,42b8530b6e9c99d7fbc8b674b1291f9b,16014,1756,2026-05-06 21:30:36
I00252,P026,W043,7be46d3f77a40a0e2187571a14b4a130,15020,3815,2026-03-01 15:28:21
I00253,P026,W037,0549171a96b7fe5606eb67462941608b,6494,3541,2026-04-09 03:40:54
I00254,P026,W025,b37574fbbfaae203d3358ddf43a471e4,19924,2897,2026-02-20 03:06:57
I00255,P026,W030,1e3f747079e56836f44df22c02170bea,14953,2187,2026-01-21 08:11:12
I00256,P026,W039,0d40e43185af6867ca1af31f3abc3235,4373,1260,2026-04-17 02:12:18
I00257,P026,W018,000d2d6015b0c82c87ae9ebcca4b4df1,19703,1318,2026-02-06 04:53:10
I00258,P026,W024,2a7e0d9ab6d897d7767ed1723b572840,8914,3503,2026-01-20 19:32:27
I00259,P026,W015,5d1b4f62d7fe241097124cc3d59b8fa5,7448,1484,2026-03-17 09:39:41
I00260,P026,W027,06e5c628c2842f0f9d5e5dc00903eb59,4472,3840,2026-03-02 19:25:22
I00261,P026,W022,8d07525f08cd28bb54e44805dd5d66c7,12543,1455,2026-03-14 05:16:06
I00262,P026,W021,24556ca7ef286e812edeef204a5fc712,1158,1134,2026-02-05 08:17:32
I00263,P027,W039,0d40e43185af6867ca1af31f3abc3235,8531,4606,2026-03-24 18:45:34
I00264,P027,W012,0be8974ac684e2db428161bf142ced02,5110,2163,2026-01-09 05:52:03
I00265,P027,W041,22e02f0fec839071e683df791041ba5d,8960,4417,2026-04-25 01:34:52
I00266,P027,W037,0549171a96b7fe5606eb67462941608b,9727,4628,2026-05-03 18:09:42
I00267,P027,W007,2a0e11a3115546829127eafb3f4c1161,15507,3212,2026-02-25 20:13:47
I00268,P028,W016,ab9c0e3488106cebda53f7ad5006d900,16128,3995,2026-05-01 16:07:55
I00269,P028,W039,0d40e43185af6867ca1af31f3abc3235,6830,2064,2026-04-11 07:29:21
I00270,P028,W044,33d8a132bce9eae67d05a33a63b43fa5,15336,1604,2026-05-04 15:04:42
I00271,P028,W018,000d2d6015b0c82c87ae9ebcca4b4df1,6603,3459,2026-01-23 01:06:44
I00272,P028,W019,3da92cbce751ec513ac61da6abb3b0e7,18586,3649,2026-04-05 15:57:06
I00273,P028,W045,bd98b257a1587f91404e4e4b4c052f9c,11820,2395,2026-04-25 02:23:24
